RXangle,TXangle,RSSI_avg,RSSI_max,Num_of_Samples
0,0,-73.1499,0.0,4002180
1,0,-71.6062,0.0,4005092
2,0,-72.6035,0.0,4004364
3,0,-73.4064,0.0,4005092
4,0,-74.6467,0.0,4004364
5,0,-74.7325,0.0,4001088
6,0,-74.883,0.0,4004000
7,0,-74.8345,0.0,4005456
8,0,-74.6951,0.0,4005092
9,0,-73.8227,0.0,4005456
10,0,-74.872,0.0,4005092
11,0,-74.8495,0.0,4005456
12,0,-74.9753,0.0,4005092
13,0,-74.8303,0.0,4005092
14,0,-74.62,0.0,4005092
15,0,-73.8679,0.0,4005456
16,0,-74.4776,0.0,4005456
17,0,-74.7021,0.0,4005092
18,0,-74.4251,0.0,4005092
19,0,-74.35,0.0,4005456
20,0,-74.9253,0.0,4005092
21,0,-74.9429,0.0,4005092
22,0,-74.7775,0.0,4005820
23,0,-74.8927,0.0,4005092
24,0,-74.8418,0.0,4005456
25,0,-74.5157,0.0,4005092
26,0,-75.1083,0.0,4005456
27,0,-74.6425,0.0,4005092
28,0,-75.0326,0.0,4005456
29,0,-75.0056,0.0,4005092
30,0,-74.7899,0.0,4005092
31,0,-73.6037,0.0,4005092
32,0,-72.3765,0.0,4004728
33,0,-70.6189,0.0,4005456
34,0,-70.7886,0.0,4005456
35,0,-69.8198,0.0,4005456
36,0,-72.429,0.0,4005092
37,0,-73.5115,0.0,4005456
38,0,-68.4482,0.0,4005092
39,0,-65.5007,0.0,4005456
40,0,-62.1224,0.0,4005820
41,0,-58.5066,0.0,4005092
42,0,-54.074,0.0,4005456
43,0,-50.8971,0.0,4005092
44,0,-49.3161,0.0,4002908
45,0,-48.7133,0.0,4005092
46,0,-49.264,0.0,4002544
47,0,-51.9581,0.0,4005092
48,0,-55.5994,0.0,4004000
49,0,-58.8271,0.0,4005456
50,0,-61.5452,0.0,4005456
51,0,-63.9342,0.0,4005456
52,0,-70.0756,0.0,4005456
53,0,-71.6589,0.0,4005456
54,0,-70.2528,0.0,4005820
55,0,-73.1479,0.0,4005092
56,0,-74.8771,0.0,4005092
57,0,-74.1472,0.0,4005092
58,0,-74.4074,0.0,4005820
59,0,-75.1386,0.0,4005456
60,0,-74.8152,0.0,4005092
61,0,-74.9799,0.0,4003272
62,0,-74.1142,0.0,4005456
63,0,-73.2914,0.0,4003272
64,0,-74.5108,0.0,4005092
65,0,-73.5982,0.0,4005092
66,0,-74.4552,0.0,4005092
67,0,-73.0601,0.0,4005092
68,0,-73.5538,0.0,4005092
69,0,-73.9736,0.0,4002180
70,0,-74.932,0.0,4005092
71,0,-74.5489,0.0,4004364
72,0,-75.0232,0.0,4005092
73,0,-75.1819,0.0,4005456
74,0,-75.154,0.0,4005092
75,0,-75.027,0.0,4005092
76,0,-74.2735,0.0,4005092
77,0,-73.3881,0.0,4003636
78,0,-74.6846,0.0,4005092
79,0,-72.1524,0.0,4005092
80,0,-74.4307,0.0,4005092
81,0,-71.7218,0.0,4003272
82,0,-66.1471,0.0,4005092
83,0,-65.0649,0.0,4005092
84,0,-69.1133,0.0,4004728
85,0,-68.5834,0.0,4002908
86,0,-61.7942,0.0,4005092
87,0,-61.289,0.0,4004364
88,0,-64.664,0.0,4005820
89,0,-63.9939,0.0,4002908
90,0,-63.53,0.0,4005456
91,0,-67.6954,0.0,4003272
92,0,-72.0657,0.0,4005092
93,0,-71.9157,0.0,4005092
94,0,-72.8653,0.0,4005092
95,0,-73.5504,0.0,4002908
96,0,-75.176,0.0,4005456
97,0,-74.9619,0.0,4004000
98,0,-73.6731,0.0,4005092
99,0,-74.9973,0.0,4005092
100,0,-73.4684,0.0,4005456
0,1,-75.2867,0.0,4005092
1,1,-74.8436,0.0,4005092
2,1,-74.6654,0.0,4006184
3,1,-75.2228,0.0,4005092
4,1,-75.421,0.0,4004728
5,1,-75.2646,0.0,4005092
6,1,-75.4461,0.0,4005456
7,1,-75.3763,0.0,4004728
8,1,-75.2015,0.0,4005456
9,1,-74.4757,0.0,4005092
10,1,-74.7256,0.0,4005092
11,1,-75.2185,0.0,4004000
12,1,-75.2309,0.0,4005092
13,1,-75.2062,0.0,4004000
14,1,-74.7375,0.0,4005820
15,1,-74.1688,0.0,4005092
16,1,-74.0438,0.0,4005456
17,1,-74.5844,0.0,4002180
18,1,-75.3187,0.0,4005820
19,1,-74.4131,0.0,4005820
20,1,-74.8629,0.0,4005820
21,1,-75.2798,0.0,4005456
22,1,-75.2997,0.0,4005092
23,1,-73.9833,0.0,4005456
24,1,-73.012,0.0,4004728
25,1,-73.99,0.0,4005092
26,1,-74.7466,0.0,4005092
27,1,-74.9742,0.0,4005456
28,1,-75.1737,0.0,4005092
29,1,-74.8781,0.0,4005820
30,1,-75.2326,0.0,4002544
31,1,-73.7197,0.0,4005456
32,1,-72.4606,0.0,4005092
33,1,-72.4539,0.0,4005456
34,1,-74.1116,0.0,4002544
35,1,-74.5646,0.0,4005092
36,1,-74.058,0.0,4005456
